t,x,y
24.480267,10.903156,0.940209
24.513619,10.919426,0.965505
24.546971,10.937561,0.986540
24.580322,10.956356,0.996518
24.613674,10.973989,0.995031
24.647026,10.989649,0.982452
24.680378,11.003347,0.962501
24.713730,11.019091,0.936593
24.747082,11.033848,0.916274
24.780434,11.044991,0.919772
24.813785,11.057889,0.937402
24.847137,11.073102,0.960479
24.880489,11.090192,0.979080
24.913841,11.108144,0.986710
24.947193,11.124639,0.982829
24.980545,11.138078,0.969661
25.013897,11.150187,0.950216
25.047248,11.165094,0.925407
25.080600,11.177282,0.915096
25.113952,11.188657,0.922789
25.147304,11.203051,0.941652
25.180656,11.218003,0.963405
25.214008,11.234472,0.979281
25.247360,11.251556,0.984087
25.280712,11.267500,0.977471
25.314063,11.280905,0.961166
25.347415,11.293204,0.939178
25.380767,11.308821,0.914567
25.414119,11.321528,0.907843
25.447471,11.333183,0.916679
25.480823,11.347510,0.936399
25.514175,11.362834,0.961099
25.547526,11.379856,0.981631
25.580878,11.397575,0.991138
25.614230,11.414219,0.989197
25.647582,11.428817,0.976440
25.680934,11.441589,0.956790
25.714286,11.457003,0.931447
25.747638,11.469427,0.912352
25.780989,11.480105,0.916359
25.814341,11.493559,0.934944
25.847693,11.508884,0.960083
25.881045,11.526552,0.981813
25.914397,11.544936,0.992547
25.947749,11.562020,0.991789
25.981101,11.576932,0.980371
26.014452,11.589970,0.962269
26.047804,11.605309,0.938489
26.081156,11.617723,0.918470
26.114508,11.627906,0.920455
26.147860,11.640320,0.937121
26.181212,11.655279,0.960270
26.214564,11.672067,0.979641
26.247916,11.689832,0.988095
26.281267,11.706196,0.985051
26.314619,11.719692,0.972402
26.347971,11.731414,0.953728
26.381323,11.745970,0.929424
26.414675,11.757493,0.914136
26.448027,11.768013,0.919261
26.481379,11.781631,0.937549
26.514730,11.796606,0.961558
26.548082,11.813408,0.981777
26.581434,11.831223,0.991060
26.614786,11.847766,0.988871
26.648138,11.861892,0.976366
26.681490,11.873924,0.957476
26.714842,11.888572,0.933043
26.748193,11.900559,0.913789
26.781545,11.910202,0.914824
26.814897,11.922930,0.931623
26.848249,11.937768,0.956272
26.881601,11.954508,0.978068
26.914953,11.972355,0.989075
26.948305,11.989077,0.988626
26.981656,12.003606,0.977495
27.015008,12.015713,0.959554
27.048360,12.030288,0.935741
27.081712,12.042561,0.915297
27.115064,12.052867,0.917134
27.148416,12.065269,0.933951
27.181768,12.080204,0.958035
27.215120,12.096991,0.978833
27.248471,12.114917,0.988792
27.281823,12.131508,0.987263
27.315175,12.145437,0.975736
27.348527,12.157387,0.957943
27.381879,12.172022,0.934378
27.415231,12.184043,0.918694
